project,layer,target,pvalue,fold,classification_type,weighted,minmax,dge_filtering,accuracy,f1_score,recall,precision,auc,auc_ovo,auc_ovr,f1_score_micro,recall_micro,precision_micro,f1_score_weighted,recall_weighted,precision_weighted
TCGA-LGG,mirna,vital_status,0.01,1,edge,True,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.736111111111111,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,True,0-1,,0.7777777777777778,0.4285714285714285,0.3333333333333333,0.6,0.7366255144032922,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,True,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7294238683127572,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,True,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7283950617283951,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,True,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7304526748971193,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,False,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,False,0-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,False,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,False,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,edge,False,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,True,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,True,0-1,,0.7777777777777778,0.4285714285714285,0.3333333333333333,0.6,0.7283950617283951,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,True,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7283950617283951,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,True,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.727366255144033,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,True,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,False,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,False,0-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,False,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,False,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,both,False,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,True,,,0.75,0.4,0.3333333333333333,0.5,0.5,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,True,0-1,,0.75,0.4,0.3333333333333333,0.5,0.7232510288065843,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,True,0.3-1,,0.75,0.4,0.3333333333333333,0.5,0.7258230452674898,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,True,0.5-1,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,True,0.8-1,,0.75,0.4,0.3333333333333333,0.5,0.7253086419753086,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,False,,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,False,0-1,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,False,0.3-1,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,False,0.5-1,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,1,node,False,0.8-1,,0.75,0.4,0.3333333333333333,0.5,0.7247942386831275,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,True,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7268518518518519,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,True,0-1,,0.7777777777777778,0.4285714285714285,0.3333333333333333,0.6,0.7283950617283951,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,True,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7283950617283951,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,True,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7263374485596708,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,True,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,False,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,False,0-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,False,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,False,0.5-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,edge,False,0.8-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7242798353909465,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,both,True,,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7191358024691358,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,both,True,0-1,,0.7777777777777778,0.4285714285714285,0.3333333333333333,0.6,0.7263374485596709,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,1,both,True,0.3-1,,0.7916666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7222222222222222,,,,,,,,
